box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
1369万,"陈玺旭,高叶,任素汐,楼云飞",李雨禾,提着心，吊着胆,"喜剧,悬疑,犯罪",https://p0.meituan.net/movie/0767733dcbbaef515338bd39c2fe4edc412054.jpg@464w_644h_1e_1c,2017-05-12,8.0
2.02亿,"斯嘉丽·约翰逊,皮鲁·埃斯贝克,迈克尔·皮特,北野武",鲁伯特·桑德斯,攻壳机动队,"动作,科幻,犯罪",https://p1.meituan.net/movie/d9f7233387bf1428de2ec8764fe86c2c376758.jpg@464w_644h_1e_1c,2017-04-07,7.8
1.61亿,"迈克尔·法斯宾德,玛丽昂·歌迪亚,迈克尔·肯尼斯·威廉姆斯,杰瑞米·艾恩斯",贾斯汀·库泽尔,刺客信条,"动作,冒险,奇幻",https://p1.meituan.net/movie/1ae32f11b78bd420d6669b9a227b148c234435.jpg@464w_644h_1e_1c,2017-02-24,7.4
1.76亿,"杨千嬅,余文乐,蒋梦婕,陈逸宁",彭浩翔,春娇救志明,"剧情,喜剧,爱情",https://p0.meituan.net/movie/ff46b5edfbd2f737219b9eed78e25fa2969775.jpg@464w_644h_1e_1c,2017-04-28,8.8
1.40亿,"杰夫·瓦德洛,瑞安·雷诺兹,塞缪尔·杰克逊,萨尔玛·海耶克",帕特里克·休斯,王牌保镖,"喜剧,动作,犯罪",https://p0.meituan.net/movie/40d65978f6dba2aa5bfe5406d82c144a4448818.jpg@464w_644h_1e_1c,2017-09-22,8.9
375万,"黄远,王大陆,赖雅妍,谢语恩",洪昇扬,一万公里的约定,剧情,https://p0.meituan.net/movie/07ef81b7238b535beacac003375a2768264873.jpg@464w_644h_1e_1c,2017-01-06,7.1
796万,"陈飞宇,欧阳娜娜,邹元清,张诚航",连奕琦,秘果,"剧情,爱情",https://p1.meituan.net/movie/e36f75f950cb9d656fdc106bcc05b851334736.jpg@464w_644h_1e_1c,2017-07-07,8.0
1.09亿,"安塞尔·艾尔高特,莉莉·詹姆斯,凯文·史派西,杰米·福克斯",埃德加·赖特,极盗车神,"爱情,动作,犯罪",https://p1.meituan.net/movie/5167faf8ce011e5a79ad4b9e5ca1f2541890304.jpg@464w_644h_1e_1c,2017-08-25,7.7
1.37亿,"欧文·威尔逊,黄磊,艾米·汉莫,张艺兴",布莱恩·菲,赛车总动员3：极速挑战,"喜剧,动画,冒险",https://p0.meituan.net/movie/2b73d01ae68a1972f7f3e235127c8bb9723265.jpg@464w_644h_1e_1c,2017-08-25,8.8
1.06亿,"张涵予,福山雅治,戚薇,河智苑",吴宇森,追捕,"剧情,动作,悬疑",https://p0.meituan.net/movie/7797d45caf40fcfcdc0f88378850e2441016690.jpg@464w_644h_1e_1c,2017-11-24,7.7
5585万,"陈学冬,张孝全,桂纶镁,蒋梦婕",彭顺,巨额来电,"剧情,犯罪",https://p0.meituan.net/movie/7a2af68eeaa106a421a5f50abfef7b3a371307.jpg@464w_644h_1e_1c,2017-12-08,8.4
7.56亿,"王宝强,白客,岳云鹏,柳岩",王宝强,大闹天竺,"喜剧,动作,冒险",https://p1.meituan.net/movie/d21566c8ecedfbdf95d06108aaf93004346404.jpg@464w_644h_1e_1c,2017-01-28,7.4
1.04亿,"江一燕,赵汉唐,达哇桑周,洛桑群培",赵汉唐,七十七天,"剧情,冒险",https://p0.meituan.net/movie/1529eee0e423fd9777a5b81781dc47011029511.jpg@464w_644h_1e_1c,2017-11-03,8.6
4199万,"威尔·阿奈特,扎克·加利凡纳基斯,迈克尔·塞拉,罗莎里奥·道森",克里斯·麦凯,乐高蝙蝠侠大电影,"喜剧,动画,动作",https://p0.meituan.net/movie/67d32aff77cb32336b4b5392c774a002160084.jpg@464w_644h_1e_1c,2017-03-03,8.5
4072万,"张子枫,张逸杰,成梓宁,李砚",杨永春,李雷和韩梅梅——昨日重现,"剧情,喜剧,爱情",https://p1.meituan.net/movie/65be3c1af2e1484f4ab59fa6028ce2d2200613.jpg@464w_644h_1e_1c,2017-06-09,7.7
6342万,"周迅,彭于晏,霍建华,郭涛",许鞍华,明月几时有,"剧情,战争,历史",https://p0.meituan.net/movie/9ab28e4dd1464d2c3d0f71180152a407412915.jpg@464w_644h_1e_1c,2017-07-01,7.5
890万,"斯蒂芬·马布里,何冰,吴尊,锦荣",杨子,我是马布里,"剧情,运动",https://p0.meituan.net/movie/7b8ddb8c0f0602455812586cae4e7ac3234794.jpg@464w_644h_1e_1c,2017-08-04,8.8
4370万,"阿特·帕金森,马修·麦康纳,查理兹·塞隆,拉尔夫·费因斯",特拉维斯·奈特,魔弦传说,"动画,奇幻,冒险",https://p0.meituan.net/movie/ceafd3b6b25919479685d03d435bd324288943.jpg@464w_644h_1e_1c,2017-01-13,8.5
436万,"孔维一,张晨,郭燕芸,石海玉",张大磊,八月,"剧情,家庭",https://p1.meituan.net/movie/1d3caac3eb27cbd81409685b816b858a208639.jpg@464w_644h_1e_1c,2017-03-24,7.7
5706万,"查理·汉纳姆,裘德·洛,艾瑞克·巴纳,阿斯特丽德·伯格斯-弗瑞斯贝",盖·里奇,亚瑟王：斗兽争霸,"动作,冒险,奇幻",https://p0.meituan.net/movie/dfcebc841d9c657efe53483bacfbefd5390473.jpg@464w_644h_1e_1c,2017-05-12,8.0
2023万,"塞巴斯蒂安·斯萨克,艾琳娜·拉尼娜,安东·庞布施尼,瓦谢斯拉夫·拉贝戈耶夫",萨里·奥德赛耶,守护者：世纪战元,"动作,冒险,科幻",https://p0.meituan.net/movie/eef7341df9076efc2c3a35d62c1a1683394185.jpg@464w_644h_1e_1c,2017-05-19,6.4
1717万,"戴夫·帕特尔,鲁妮·玛拉,大卫·文翰,妮可·基德曼",加斯·戴维斯,雄狮,剧情,https://p1.meituan.net/movie/c6e3e603ea55d435a75cbd7c3a6e6709368186.jpg@464w_644h_1e_1c,2017-06-22,8.7
1.14亿,"王大陆,张天爱,任达华,盛冠森",杨磊,鲛珠传,"喜剧,动作,奇幻",https://p0.meituan.net/movie/8740fa75ab04bce0b5c0e38524ad98ac503502.jpg@464w_644h_1e_1c,2017-08-11,7.9
